Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Burnout_Score,Stagnation_Score,Disengagement_Score,Compensation_Gap
1,2,2,2,2,0.7254294964422535,0.39240510429015546,0.5062032724614461,2,1,1,0,1,3,1,1,2,1,2,3,1,3,2,2,2,1,1,1,0,3,3,0,1,0,3,2,2,2
1,2,2,2,2,0.25688073438776293,0.39240510429015546,0.34641529915159075,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,0,1,0,2,3,0,1,0,2,2,3,1
1,2,2,2,2,0.5041293001243747,0.5444138749750935,0.557835589399299,2,3,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,1,0,1,0,3,3,1,1,0,2,2,2,1
1,2,2,2,2,0.35537190084412335,0.25600486756973356,0.3325968600857093,4,1,1,1,0,3,1,0,0,0,2,2,1,3,2,2,1,2,2,1,1,2,2,1,1,0,6,4,4,0
0,1,2,1,1,0.7254294964422535,0.431284270194226,0.49138655462184877,2,2,1,0,0,1,0,0,0,0,1,1,0,3,1,1,1,2,2,0,0,2,1,1,0,1,7,3,4,2
0,2,2,2,1,0.4979663383385758,0.5727612338639113,0.5065741346176669,3,2,1,1,1,3,0,0,1,1,3,2,1,3,2,2,1,2,2,1,0,2,3,1,1,0,6,2,3,2
0,3,3,5,5,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,0,0,0,2,1,0,2,0,1,2,1,2,1,1,2,0,0,0,0,2,2,0,1,0,1,7,4,1
1,1,2,2,1,0.35537190084412335,0.6028848047056141,0.6045206383292184,2,0,1,0,0,1,0,0,1,1,1,3,1,2,2,1,2,0,0,0,0,2,2,1,0,1,1,2,4,2
1,2,2,2,2,0.25688073438776293,0.39240510429015546,0.34641529915159075,2,0,1,1,0,2,1,1,1,1,1,2,1,3,1,2,3,0,0,1,0,2,3,0,1,0,0,2,3,0
1,3,3,2,2,0.7342055546273047,0.6028848047056141,0.4012782538087797,3,2,1,0,1,2,0,0,1,1,2,2,1,2,2,1,2,1,1,0,0,2,2,1,1,0,3,3,4,3
1,1,2,2,2,0.35537190084412335,0.25600486756973356,0.20682309909086197,1,2,0,0,0,1,0,0,0,0,1,1,0,1,2,1,2,1,2,0,0,1,1,0,0,1,5,4,7,2
