Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Salary_per_Experience,Opportunity_Training_Score,Experience_Gap_LastOrg
0,3,1,5,2,0.30045460807273733,0.3948079231692677,0.3559969442322384,3,0,0,0,1,2,0,0,0,0,3,2,1,2,2,2,2,2,2,0,0,2,2,1,1,0,0.5,0,3
0,2,3,2,1,0.2645953118089341,0.3948079231692677,0.35792094615624026,2,0,1,0,0,1,1,1,3,1,2,3,1,3,3,2,3,0,0,1,1,3,3,0,1,0,0.6666666666666666,0,1
1,1,2,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,0,1,0,0,1,0,0,0,1,1,1,0,2,2,3,2,2,2,0,0,2,2,0,1,0,0.3333333333333333,0,0
0,3,2,5,5,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,2,1,1,0,2,1,1,1,1,1,2,1,3,2,1,2,1,1,1,0,3,2,1,1,0,0.1666666666666666,1,0
1,2,2,2,2,0.2645953118089341,0.3948079231692677,0.3559969442322384,1,1,0,0,1,3,1,1,1,1,1,3,1,3,3,2,3,1,0,1,0,2,2,0,0,1,0.3333333333333333,0,0
0,1,2,2,1,0.7065546218487395,0.5567968363816115,0.493109243697479,3,1,1,0,0,1,0,1,1,1,1,2,1,2,2,1,2,0,1,0,1,3,2,0,1,0,1.0,0,1
0,2,1,2,2,0.4986849701712746,0.5197265346816693,0.43319327731092444,2,2,1,1,1,3,0,0,2,0,2,3,0,1,1,1,2,0,2,0,0,3,2,0,1,0,0.6666666666666666,0,0
1,2,2,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,1,1,1,3,2,1,1,0,0.6666666666666666,3,0
1,2,2,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,1,1,0,2,1,1,3,1,2,2,0,2,2,2,2,0,0,1,1,2,1,1,1,0,0.6666666666666666,3,0
0,1,1,2,2,0.30045460807273733,0.3948079231692677,0.35792094615624026,2,3,1,1,1,3,1,1,3,1,3,3,1,3,3,1,3,1,0,1,0,2,3,0,0,1,0.6666666666666666,0,0
1,2,2,3,1,0.5096391497775582,0.3948079231692677,0.35792094615624026,2,2,0,0,1,2,0,0,1,0,1,1,0,1,1,1,1,2,2,0,0,1,1,1,0,1,0.5,1,2
1,4,4,6,2,0.3584433773509404,0.2690943043884221,0.2762861242057799,2,0,1,0,1,3,0,0,1,1,1,2,1,3,3,1,3,1,1,0,0,2,2,1,1,0,0.2857142857142857,1,4
1,2,1,2,2,0.4986849701712746,0.3948079231692677,0.5737628384687209,2,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1,1,1,1,0,0,1,1,1,1,0,0.6666666666666666,0,0
