Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
0,2,2,1,1,11,12,5,2,2,0,1,0,1,1,0,1,1,1,2,1,2,1,1,3,1,0,0,0,2,1,1,1,0
0,1,2,1,1,3,19,33,1,0,0,0,0,1,1,1,3,1,2,3,1,3,3,1,3,0,0,1,0,2,2,0,0,1
1,2,2,2,2,0,1,54,2,1,1,0,1,3,1,1,2,1,2,3,1,3,2,2,2,1,1,1,0,3,3,0,1,0
1,2,2,2,2,7,1,2,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,0,1,0,2,3,0,1,0
1,2,2,2,2,11,17,31,2,3,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,1,0,1,0,3,3,1,1,0
1,2,2,2,2,3,19,14,4,1,1,1,0,3,1,0,0,0,2,2,1,3,2,2,1,2,2,1,1,2,2,1,1,0
0,1,2,1,1,0,15,26,2,2,1,0,0,1,0,0,0,0,1,1,0,3,1,1,1,2,2,0,0,2,1,1,0,1
0,2,2,2,1,13,2,35,3,2,1,1,1,3,0,0,1,1,3,2,1,3,2,2,1,2,2,1,0,2,3,1,1,0
0,3,3,5,5,7,8,58,1,0,0,0,0,2,1,0,2,0,1,2,1,2,1,1,2,0,0,0,0,2,2,0,1,0
1,1,2,2,1,3,0,0,2,0,1,0,0,1,0,0,1,1,1,3,1,2,2,1,2,0,0,0,0,2,2,1,0,1
1,2,2,2,2,7,1,2,2,0,1,1,0,2,1,1,1,1,1,2,1,3,1,2,3,0,0,1,0,2,3,0,1,0
1,3,3,2,2,8,0,19,3,2,1,0,1,2,0,0,1,1,2,2,1,2,2,1,2,1,1,0,0,2,2,1,1,0
1,1,2,2,2,3,19,33,1,2,0,0,0,1,0,0,0,0,1,1,0,1,2,1,2,1,2,0,0,1,1,0,0,1
1,1,2,1,1,12,13,11,1,0,1,0,1,2,0,0,1,1,1,2,0,2,2,2,1,2,2,0,0,2,1,1,0,1
0,3,1,5,2,6,1,2,3,0,0,0,1,2,0,0,0,0,3,2,1,2,2,2,2,2,2,0,0,2,2,1,1,0
0,2,3,2,1,7,1,30,2,0,1,0,0,1,1,1,3,1,2,3,1,3,3,2,3,0,0,1,1,3,3,0,1,0
1,1,2,2,2,7,8,58,1,0,1,0,0,1,0,0,0,1,1,1,0,2,2,3,2,2,2,0,0,2,2,0,1,0
0,3,2,5,5,7,8,58,1,2,1,1,0,2,1,1,1,1,1,2,1,3,2,1,2,1,1,1,0,3,2,1,1,0
1,2,2,2,2,7,1,2,1,1,0,0,1,3,1,1,1,1,1,3,1,3,3,2,3,1,0,1,0,2,2,0,0,1
0,1,2,2,1,8,2,36,3,1,1,0,0,1,0,1,1,1,1,2,1,2,2,1,2,0,1,0,1,3,2,0,1,0
0,2,1,2,2,11,6,52,2,2,1,1,1,3,0,0,2,0,2,3,0,1,1,1,2,0,2,0,0,3,2,0,1,0
1,2,2,2,2,7,8,58,2,0,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,1,1,1,3,2,1,1,0
1,2,2,2,2,7,8,58,2,0,1,1,0,2,1,1,3,1,2,2,0,2,2,2,2,0,0,1,1,2,1,1,1,0
0,1,1,2,2,6,1,30,2,3,1,1,1,3,1,1,3,1,3,3,1,3,3,1,3,1,0,1,0,2,3,0,0,1
